student_id,week,attendance,grade,behavior_text,age,gender,scholarship,debt,tuition_up_to_date,courses_enrolled,courses_passed,dropout_label
STU0001,1,61.7,68.1,Moderate effort observed,18,1,1,0,1,4,4,0
STU0001,2,62.3,68.2,Average performance,18,1,1,0,1,4,4,0
STU0001,3,62.1,67.3,Adequate performance noted,18,1,1,0,1,4,4,0
STU0001,4,60.1,68.6,Moderate effort observed,18,1,1,0,1,4,4,0
STU0001,5,59.8,67.7,Average performance,18,1,1,0,1,4,4,0
STU0001,6,61.6,67.0,Submitted assignment,18,1,1,0,1,4,4,0
STU0001,7,61.1,66.5,Present but passive,18,1,1,0,1,4,4,0
STU0001,8,61.6,67.7,Moderate effort observed,18,1,1,0,1,4,4,0
STU0001,9,61.4,66.2,Satisfactory attendance record,18,1,1,0,1,4,4,0
STU0001,10,60.9,66.4,Adequate performance noted,18,1,1,0,1,4,4,0
STU0001,11,61.4,67.9,Present but passive,18,1,1,0,1,4,4,0
STU0001,12,61.7,68.8,Regular attendance,18,1,1,0,1,4,4,0
STU0001,13,62.4,69.9,Submitted assignment,18,1,1,0,1,4,4,0
STU0001,14,63.8,71.3,No significant changes,18,1,1,0,1,4,4,0
STU0001,15,62.9,71.9,Present but passive,18,1,1,0,1,4,4,0
STU0002,1,63.1,50.3,Satisfactory attendance record,23,0,0,0,1,3,2,1
STU0002,2,59.9,48.1,Missed multiple deadlines,23,0,0,0,1,3,2,1
STU0002,3,58.3,45.0,Absent without leave,23,0,0,0,1,3,2,1
STU0002,4,57.1,44.9,Sleeping in class,23,0,0,0,1,3,2,1
STU0002,5,55.1,44.6,Showed signs of academic distress,23,0,0,0,1,3,2,1
STU0002,6,50.4,41.1,Sleeping in class,23,0,0,0,1,3,2,1
STU0002,7,49.3,39.1,Showed signs of academic distress,23,0,0,0,1,3,2,1
STU0002,8,44.8,37.3,Did not pay attention,23,0,0,0,1,3,2,1
STU0002,9,44.1,34.3,Struggling with concepts,23,0,0,0,1,3,2,1
STU0002,10,42.8,31.9,Showed signs of academic distress,23,0,0,0,1,3,2,1
STU0002,11,39.8,30.5,Disruptive behavior in class,23,0,0,0,1,3,2,1
STU0002,12,37.3,30.1,Absent without leave,23,0,0,0,1,3,2,1
STU0002,13,33.0,29.5,Disruptive behavior in class,23,0,0,0,1,3,2,1
STU0002,14,29.0,27.8,Late submission of assignment,23,0,0,0,1,3,2,1
STU0002,15,27.1,25.4,Incomplete homework,23,0,0,0,1,3,2,1
STU0003,1,49.9,85.4,Struggling with concepts,18,0,0,0,1,6,5,0
STU0003,2,51.6,86.9,Met the basic requirements,18,0,0,0,1,6,5,0
STU0003,3,53.0,87.0,Average performance,18,0,0,0,1,6,5,0
STU0003,4,51.6,88.0,Standard participation,18,0,0,0,1,6,5,0
STU0003,5,53.4,89.7,Satisfactory attendance record,18,0,0,0,1,6,5,0
STU0003,6,51.4,89.0,Regular attendance,18,0,0,0,1,6,5,0
STU0003,7,49.8,88.4,Declined to participate in activities,18,0,0,0,1,6,5,0
STU0003,8,51.1,87.4,Average performance,18,0,0,0,1,6,5,0
STU0003,9,52.6,89.2,Submitted assignment,18,0,0,0,1,6,5,0
STU0003,10,53.5,90.5,On-time submission with minor errors,18,0,0,0,1,6,5,0
STU0003,11,53.6,89.0,Attended but disengaged,18,0,0,0,1,6,5,0
STU0003,12,53.5,89.2,Met the basic requirements,18,0,0,0,1,6,5,0
STU0003,13,53.6,89.6,Average performance,18,0,0,0,1,6,5,0
STU0003,14,55.4,90.6,Moderate effort observed,18,0,0,0,1,6,5,0
STU0003,15,54.2,89.8,Attended but disengaged,18,0,0,0,1,6,5,0
STU0004,1,80.5,25.7,Did not pay attention,25,1,1,0,1,5,4,0
STU0004,2,81.2,24.5,Disruptive behavior in class,25,1,1,0,1,5,4,0
STU0004,3,82.1,26.1,Needs improvement in discipline,25,1,1,0,1,5,4,0
STU0004,4,82.0,27.2,No homework submitted,25,1,1,0,1,5,4,0
STU0004,5,81.6,25.6,Missed multiple deadlines,25,1,1,0,1,5,4,0
STU0004,6,81.3,25.3,Incomplete homework,25,1,1,0,1,5,4,0
STU0004,7,82.8,23.5,Missed multiple deadlines,25,1,1,0,1,5,4,0
STU0004,8,84.7,21.9,Rude to classmates,25,1,1,0,1,5,4,0
STU0004,9,85.7,23.1,Late submission of assignment,25,1,1,0,1,5,4,0
STU0004,10,84.6,21.9,Incomplete homework,25,1,1,0,1,5,4,0
